,name,support_color,support_direct,rarity,category,currency,skills,skills_v2,abilities,hitface,sufferface,info,attack,max_hp,defance,speed,critical_rate,critical_damage,effect_hitrate,effect_resistance,elemental_mastery,healing_bonus,shield_strength,fire_damage_bonus,fire_elemental_resistance,light_damage_bonus,light_elemental_resistance,wind_damage_bonus,wind_elemental_resistance,ice_damage_bonus,ice_elemental_resistance,water_damage_bonus,water_elemental_resistance,rock_damage_bonus,rock_elemental_resistance,physical_damage_bonus,physical_elemental_resistance,prime_attribute
syl_role,神野凉,,,SP,human,2000,guard,guard,,,,游戏中《夏之死神篇》和《冬之妖精篇》的男主,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,

aiyi_role,日向爱衣,red,left,R,human,1500,guard|psychokinesis-fire|aiyi_combat|aiyi_passive|aiyi_breakout,,Fortitude|Conjurer|Reflexes,hit,suffer,日向怜的亲妹妹，由于日向怜和立花希同居的关系，爱衣被拜托给了暂时一个人居住的翔子照顾,137,1003,74,115,0.08,1.5,0.0,0.0,20,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,元素精通

lhx_role,立花希,gray,right,SR,human,2500,guard|psychokinesis-wind|lhx_combat|lhx_passive|lhx_breakout,,Brutal|Skin|Endurance,hit,suffer,雪见市幼儿园新晋教师，身材矮小且性格傲娇，经常被说成是小孩子,116,1280,67,119,0.03,1.5,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,生命值加成

lingyin_role,青木铃音,black,right,SR,human,1500,guard|psychokinesis|lingyin_combat|lingyin_passive|lingyin_breakout,,Serenity|Endurance|Acrobat,hit,suffer,青木翔子的双胞胎妹妹，拥有几乎和姐姐翔子一摸一样的长相，性格温柔善良但有时也会对与姐姐颇为亲近之人表现出些许小腹黑,146,1014,68,113,0.1,1.5,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,风元素伤害加成

liuli_role,花山院琉璃,yellow,left,SSR,human,3000,guard|psychokinesis|liuli_combat|liuli_passive|liuli_breakout,,Spiritual|Conjurer|Adaptive,hit,suffer,星天宫培养的上级巫女，身材娇小却拥有强大的灵能力。性格认真踏实，责任心强，成绩优秀，在遇到神野凉之前一心只想着为灵继者的未来做贡献,159,1174,60,110,0.12,1.6,0.0,0.0,20,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,火元素伤害加成

lst_role,雷亚,gray,right,SSR,angel,6000,guard|psychokinesis-ice|lst_combat|lst_passive|lst_breakout_1,guard|psychokinesis-ice|lst_combat|lst_passive|lst_breakout_2,Soul|Flexible|Recovery,hit,suffer,在天使的季节“夏之死神篇”登场，由儿时的神野凉与青木翔子的约定化身而成的天使。强大的羁绊之力打破量子界线也将“梦”带到了神野凉的身边，最终为了达成“梦”的心愿而消失,164,1334,80,111,0.1,1.5,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,暴击伤害

qcls_role,千川老师,purple,left,SSR,human,2500,guard|psychokinesis-light|qcls_combat|qcls_passive|qcls_breakout,,Skin|Reflexes|Serenity,hit,suffer,雪见市幼儿园的老师，为人善良且有责任心，由于自身拥有与伊始之魔女相同的灵纹，因而总是极力隐瞒能力之事,145,1099,65,115,0.1,1.5,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,攻击力加成
